Time,Temperature
-2,34
-1.5,34
-1,34
-0.5,34
0,34
0.5,40
1,40
1.5,40
2,41
2.5,40
3,41
3.5,41
4,41
4.5,41
5,41
5.5,41
6,41
6.5,41
7,41
7.5,41
8,41
8.5,41
9,41
9.5,41
10,41
10.5,41
11,41
11.5,41
12,41
12.5,41
13,41
13.5,41
14,41
14.5,41
15,41
15.5,41
16,41
16.5,41
17,41
17.5,41
18,41
18.5,41
19,41
19.5,41
20,42
20.5,41
21,41
21.5,42
22,41
22.5,41
23,41
23.5,42
24,42
24.5,42
25,42
25.5,41
26,42
26.5,42
27,42
27.5,42
28,42
28.5,42
29,42
29.5,42
30,42
30.5,42
31,42
31.5,42
32,42
32.5,42
33,42
33.5,42
34,42
34.5,42
35,42
35.5,42
36,42
36.5,42
37,42
37.5,42
38,42
38.5,42
39,42
39.5,42
40,42
40.5,42
41,42
41.5,42
42,42
42.5,42
43,42
43.5,42
44,42
44.5,42
45,42
45.5,42
46,42
46.5,42
47,42
47.5,42
48,42
48.5,42
49,42
49.5,42
50,42
50.5,42
51,42
51.5,42
52,42
52.5,43
53,42
53.5,42
54,42
54.5,42
55,42
55.5,43
56,42
56.5,42
57,43
57.5,43
58,43
58.5,42
59,43
59.5,42
60,42
60.5,43
61,42
61.5,43
62,43
62.5,43
63,43
63.5,43
64,42
64.5,43
65,43
65.5,43
66,43
66.5,43
67,43
67.5,43
68,43
68.5,43
69,43
69.5,43
70,43
70.5,43
71,43
71.5,43
72,43
72.5,43
73,43
73.5,43
74,43
74.5,43
75,43
75.5,43
76,43
76.5,43
77,43
77.5,43
78,43
78.5,43
79,43
79.5,43
80,43
80.5,43
81,43
81.5,43
82,43
82.5,43
83,43
83.5,43
84,43
84.5,43
85,43
85.5,43
86,43
86.5,43
87,43
87.5,43
88,43
88.5,43
89,43
89.5,43
90,43
90.5,43
91,43
91.5,43
92,43
92.5,43
93,43
93.5,43
94,43
94.5,43
95,43
95.5,43
96,43
96.5,43
97,43
97.5,43
98,43
98.5,43
99,43
99.5,43
100,43
100.5,44
101,43
101.5,43
102,44
102.5,43
103,43
103.5,43
104,43
104.5,44
105,43
105.5,44
106,44
106.5,44
107,43
107.5,44
108,44
108.5,44
109,44
109.5,43
110,43
110.5,43
111,44
111.5,44
112,44
112.5,44
113,44
113.5,44
114,44
114.5,44
115,43
115.5,44
116,44
116.5,44
117,44
117.5,44
118,44
118.5,44
119,44
119.5,44
120,44
120.5,44
121,43
121.5,44
122,44
122.5,44
123,44
123.5,44
124,44
124.5,44
125,44
125.5,44
126,44
126.5,44
127,44
127.5,44
128,44
128.5,44
129,44
129.5,44
130,44
130.5,44
131,44
131.5,44
132,44
132.5,44
133,44
133.5,44
134,44
134.5,44
135,44
135.5,44
136,44
136.5,44
137,44
137.5,44
138,44
138.5,44
139,44
139.5,44
140,44
140.5,44
141,44
141.5,44
142,44
142.5,44
143,44
143.5,44
144,44
144.5,44
145,44
145.5,44
146,44
146.5,44
147,44
147.5,44
148,44
148.5,44
149,44
149.5,44
150,44
150.5,44
151,44
151.5,44
152,44
152.5,44
153,44
153.5,44
154,44
154.5,44
155,44
155.5,44
156,44
156.5,44
157,44
157.5,44
158,44
158.5,44
159,44
159.5,44
160,44
160.5,44
161,44
161.5,44
162,44
162.5,44
163,44
163.5,44
164,44
164.5,44
165,44
165.5,44
166,44
166.5,44
167,44
167.5,44
168,44
168.5,44
169,44
169.5,45
170,44
170.5,44
171,45
171.5,44
172,45
172.5,44
173,44
173.5,44
174,44
174.5,44
175,44
175.5,44
176,44
176.5,45
177,44
177.5,44
178,44
178.5,44
179,44
179.5,44
180,44
180.5,45
181,44
181.5,44
182,45
182.5,44
183,44
183.5,44
184,45
184.5,45
185,44
185.5,45
186,45
186.5,44
187,44
187.5,45
188,45
188.5,45
189,44
189.5,45
190,45
190.5,44
191,44
191.5,44
192,45
192.5,45
193,45
193.5,45
194,45
194.5,45
195,44
195.5,45
196,45
196.5,45
197,44
197.5,45
198,45
198.5,45
199,45
199.5,45
200,45
200.5,45
201,45
201.5,45
202,45
202.5,45
203,45
203.5,45
204,45
204.5,45
205,45
205.5,45
206,45
206.5,45
207,45
207.5,45
208,45
208.5,45
209,45
209.5,45
210,45
210.5,45
211,45
211.5,45
212,45
212.5,45
213,45
213.5,45
214,45
214.5,45
215,45
215.5,45
216,45
216.5,45
217,45
217.5,45
218,45
218.5,45
219,45
219.5,45
220,45
220.5,45
221,45
221.5,45
222,45
222.5,45
223,45
223.5,45
224,45
224.5,45
225,45
225.5,45
226,45
226.5,45
227,45
227.5,45
228,45
228.5,45
229,45
229.5,45
230,45
230.5,45
231,45
231.5,45
232,45
232.5,45
233,45
233.5,45
234,45
234.5,45
235,45
235.5,45
236,45
236.5,45
237,45
237.5,45
238,45
238.5,45
239,45
239.5,45
240,45
240.5,45
241,45
241.5,45
242,45
242.5,45
243,45
243.5,45
244,45
244.5,45
245,45
245.5,45
246,45
246.5,45
247,45
247.5,45
248,45
248.5,45
249,45
249.5,45
250,45
250.5,45
251,45
251.5,45
252,45
252.5,45
253,45
253.5,45
254,45
254.5,45
255,45
255.5,45
256,45
256.5,45
257,45
257.5,45
258,45
258.5,45
259,45
259.5,45
260,45
260.5,45
261,45
261.5,45
262,45
262.5,45
263,45
263.5,45
264,45
264.5,45
265,45
265.5,45
266,45
266.5,45
267,45
267.5,45
268,45
268.5,45
269,45
269.5,45
270,45
270.5,45
271,45
271.5,45
272,45
272.5,45
273,45
273.5,45
274,45
274.5,45
275,45
275.5,45
276,45
276.5,45
277,45
277.5,45
278,45
278.5,45
279,45
279.5,45
280,45
280.5,45
281,45
281.5,45
282,45
282.5,45
283,45
283.5,45
284,45
284.5,45
285,45
285.5,45
286,45
286.5,45
287,45
287.5,45
288,45
288.5,45
289,45
289.5,45
290,45
290.5,45
291,45
291.5,45
292,45
292.5,45
293,45
293.5,45
294,46
294.5,45
295,45
295.5,45
296,45
296.5,45
297,46
297.5,45
298,45
298.5,45
299,45
299.5,46
300,45
